%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=212695, 2017/09/27 23:0:50.97)
19 229 2.191541e-01 1.182439e+00 8.881774e-01 8.881774e-01 8.905361e-01 9.003654e-01 9.034742e-01 9.140791e-01 9.182103e-01 9.299677e-01 9.440755e-01 9.509586e-01 9.522701e-01 9.727903e-01 9.791680e-01 9.869446e-01 9.990077e-01 1.027302e+00 1.047262e+00 1.104534e+00 1.182439e+00 
20 241 2.127213e-01 1.183879e+00 8.825483e-01 8.825483e-01 8.843220e-01 8.963553e-01 8.993409e-01 9.112295e-01 9.160034e-01 9.265960e-01 9.413580e-01 9.449108e-01 9.544511e-01 9.746641e-01 9.807420e-01 9.891344e-01 1.000056e+00 1.028952e+00 1.046436e+00 1.100421e+00 1.183879e+00 
21 253 2.034502e-01 1.180696e+00 8.775587e-01 8.775587e-01 8.796819e-01 8.930109e-01 8.963543e-01 9.060475e-01 9.159902e-01 9.213138e-01 9.352554e-01 9.420211e-01 9.528514e-01 9.684644e-01 9.798705e-01 9.875418e-01 9.964552e-01 1.025641e+00 1.051923e+00 1.099275e+00 1.180696e+00 
22 265 1.982811e-01 1.174670e+00 8.712663e-01 8.712663e-01 8.740518e-01 8.898346e-01 8.960069e-01 9.011304e-01 9.110112e-01 9.191174e-01 9.314865e-01 9.394796e-01 9.509863e-01 9.664579e-01 9.767986e-01 9.834616e-01 9.987838e-01 1.019988e+00 1.071044e+00 1.094633e+00 1.174670e+00 
23 277 1.931671e-01 1.184046e+00 8.667180e-01 8.667180e-01 8.699573e-01 8.865659e-01 8.920795e-01 8.974565e-01 9.058985e-01 9.193416e-01 9.250568e-01 9.446616e-01 9.469984e-01 9.690677e-01 9.805074e-01 9.901016e-01 9.964303e-01 1.014179e+00 1.077864e+00 1.096826e+00 1.184046e+00 
24 289 1.897162e-01 1.189140e+00 8.615981e-01 8.615981e-01 8.642533e-01 8.854967e-01 8.890130e-01 8.913122e-01 9.025258e-01 9.179180e-01 9.242249e-01 9.405233e-01 9.570307e-01 9.679491e-01 9.775793e-01 9.910224e-01 9.951669e-01 1.007179e+00 1.077930e+00 1.092562e+00 1.189140e+00 
25 301 1.912596e-01 1.195872e+00 8.559637e-01 8.559637e-01 8.589003e-01 8.797536e-01 8.850746e-01 8.927062e-01 9.054558e-01 9.172943e-01 9.181045e-01 9.375380e-01 9.538630e-01 9.666488e-01 9.735225e-01 9.873285e-01 1.002896e+00 1.017642e+00 1.072246e+00 1.108222e+00 1.195872e+00 
26 313 1.889627e-01 1.199962e+00 8.496486e-01 8.496486e-01 8.589857e-01 8.778511e-01 8.808509e-01 8.902337e-01 9.014153e-01 9.135386e-01 9.161682e-01 9.356245e-01 9.532269e-01 9.648518e-01 9.814947e-01 9.919842e-01 1.003060e+00 1.017872e+00 1.067694e+00 1.110255e+00 1.199962e+00 
27 325 1.862555e-01 1.198315e+00 8.447647e-01 8.447647e-01 8.571742e-01 8.740323e-01 8.786274e-01 8.885896e-01 8.977289e-01 9.071291e-01 9.178048e-01 9.316567e-01 9.505520e-01 9.596034e-01 9.834269e-01 9.853393e-01 1.002277e+00 1.022222e+00 1.062416e+00 1.138136e+00 1.198315e+00 
28 337 1.817904e-01 1.191975e+00 8.386902e-01 8.386902e-01 8.523663e-01 8.719806e-01 8.740807e-01 8.873326e-01 8.966404e-01 9.076168e-01 9.139636e-01 9.260050e-01 9.462832e-01 9.579275e-01 9.795310e-01 9.875240e-01 1.006441e+00 1.026184e+00 1.058127e+00 1.141012e+00 1.191975e+00 
29 349 1.756754e-01 1.186197e+00 8.330128e-01 8.330128e-01 8.480270e-01 8.687733e-01 8.718738e-01 8.838340e-01 8.936531e-01 9.020412e-01 9.140481e-01 9.209267e-01 9.407123e-01 9.543606e-01 9.763188e-01 9.895450e-01 1.001233e+00 1.022832e+00 1.055163e+00 1.160166e+00 1.186197e+00 
30 361 1.690671e-01 1.189989e+00 8.290661e-01 8.290661e-01 8.436178e-01 8.663009e-01 8.699275e-01 8.806129e-01 8.895103e-01 8.977802e-01 9.154779e-01 9.231378e-01 9.376866e-01 9.578516e-01 9.716255e-01 9.947589e-01 9.968245e-01 1.024763e+00 1.057454e+00 1.158203e+00 1.189989e+00 
31 373 1.642500e-01 1.185971e+00 8.246809e-01 8.246809e-01 8.387209e-01 8.605070e-01 8.675117e-01 8.802929e-01 8.835190e-01 8.941880e-01 9.100278e-01 9.249988e-01 9.346569e-01 9.557508e-01 9.672693e-01 9.908951e-01 9.968469e-01 1.031632e+00 1.059646e+00 1.157946e+00 1.185971e+00 
32 385 1.572393e-01 1.187693e+00 8.200887e-01 8.200887e-01 8.335271e-01 8.548386e-01 8.632786e-01 8.783441e-01 8.867991e-01 8.950987e-01 9.053615e-01 9.207588e-01 9.341599e-01 9.531621e-01 9.628507e-01 9.889785e-01 9.951544e-01 1.026913e+00 1.058715e+00 1.153436e+00 1.187693e+00 
33 397 1.568018e-01 1.188151e+00 8.148038e-01 8.148038e-01 8.289769e-01 8.524915e-01 8.587832e-01 8.752004e-01 8.837877e-01 8.990802e-01 9.018719e-01 9.276036e-01 9.496410e-01 9.561028e-01 9.591838e-01 9.854269e-01 1.004330e+00 1.031303e+00 1.056217e+00 1.147081e+00 1.188151e+00 
34 409 1.586591e-01 1.183374e+00 8.090253e-01 8.090253e-01 8.246806e-01 8.479259e-01 8.572315e-01 8.734190e-01 8.799025e-01 8.936139e-01 9.082964e-01 9.264895e-01 9.455522e-01 9.549440e-01 9.670933e-01 9.850731e-01 1.008021e+00 1.025320e+00 1.057486e+00 1.147715e+00 1.183374e+00 
35 421 1.596971e-01 1.179221e+00 8.032313e-01 8.032313e-01 8.209935e-01 8.444433e-01 8.523443e-01 8.702255e-01 8.757500e-01 8.906606e-01 9.053792e-01 9.209872e-01 9.428236e-01 9.509299e-01 9.685818e-01 9.937967e-01 1.007501e+00 1.018868e+00 1.073298e+00 1.144315e+00 1.179221e+00 
36 433 1.610267e-01 1.193000e+00 8.035791e-01 8.035791e-01 8.188624e-01 8.414836e-01 8.566651e-01 8.650542e-01 8.766648e-01 8.860621e-01 9.002678e-01 9.276276e-01 9.376565e-01 9.451640e-01 9.630059e-01 9.913182e-01 1.012986e+00 1.019674e+00 1.080517e+00 1.150239e+00 1.193000e+00 
37 445 1.515481e-01 1.198545e+00 7.976406e-01 7.976406e-01 8.143863e-01 8.461922e-01 8.519377e-01 8.625962e-01 8.713612e-01 8.823382e-01 8.990708e-01 9.264183e-01 9.325633e-01 9.401008e-01 9.568004e-01 9.860526e-01 1.007891e+00 1.019265e+00 1.078417e+00 1.144466e+00 1.198545e+00 
38 457 1.461037e-01 1.191604e+00 7.931219e-01 7.931219e-01 8.101678e-01 8.470688e-01 8.475559e-01 8.606636e-01 8.685906e-01 8.784749e-01 8.994740e-01 9.226223e-01 9.266836e-01 9.396275e-01 9.525582e-01 9.948029e-01 1.004364e+00 1.031708e+00 1.079152e+00 1.148135e+00 1.191604e+00 
39 469 1.428351e-01 1.185402e+00 7.879810e-01 7.879810e-01 8.068168e-01 8.423046e-01 8.450445e-01 8.569694e-01 8.667509e-01 8.728960e-01 8.937782e-01 9.240993e-01 9.289760e-01 9.359323e-01 9.513303e-01 9.910195e-01 1.001442e+00 1.044636e+00 1.077848e+00 1.142271e+00 1.185402e+00 
40 481 1.423936e-01 1.184588e+00 7.829792e-01 7.829792e-01 8.017529e-01 8.389255e-01 8.458452e-01 8.587850e-01 8.640824e-01 8.716281e-01 8.924892e-01 9.213816e-01 9.269127e-01 9.364009e-01 9.629648e-01 9.875246e-01 1.002559e+00 1.047305e+00 1.074465e+00 1.141347e+00 1.184588e+00 
41 493 1.340664e-01 1.178495e+00 7.790771e-01 7.790771e-01 7.995304e-01 8.345823e-01 8.415176e-01 8.535581e-01 8.647046e-01 8.758366e-01 8.877390e-01 9.172898e-01 9.238369e-01 9.307380e-01 9.630782e-01 9.848301e-01 9.986640e-01 1.047184e+00 1.080060e+00 1.140077e+00 1.178495e+00 
42 505 1.311979e-01 1.172657e+00 7.737142e-01 7.737142e-01 7.948600e-01 8.314103e-01 8.365388e-01 8.530937e-01 8.641980e-01 8.734220e-01 8.854800e-01 9.115410e-01 9.205627e-01 9.263494e-01 9.615254e-01 9.818873e-01 9.944115e-01 1.072151e+00 1.078830e+00 1.143516e+00 1.172657e+00 
43 517 1.294758e-01 1.166506e+00 7.696058e-01 7.696058e-01 7.941577e-01 8.304438e-01 8.319394e-01 8.598745e-01 8.654801e-01 8.750672e-01 8.835110e-01 9.060696e-01 9.160710e-01 9.244358e-01 9.582823e-01 9.782375e-01 9.935953e-01 1.074851e+00 1.083660e+00 1.138081e+00 1.166506e+00 
44 529 1.243256e-01 1.162808e+00 7.649796e-01 7.649796e-01 7.892747e-01 8.275601e-01 8.290482e-01 8.551306e-01 8.632270e-01 8.765386e-01 8.787071e-01 9.044788e-01 9.146707e-01 9.219684e-01 9.525905e-01 9.739113e-01 9.917755e-01 1.075763e+00 1.087147e+00 1.139657e+00 1.162808e+00 
45 541 1.255969e-01 1.158713e+00 7.609314e-01 7.609314e-01 7.840617e-01 8.227540e-01 8.284896e-01 8.508943e-01 8.583329e-01 8.718657e-01 8.754291e-01 9.022270e-01 9.171224e-01 9.348168e-01 9.528831e-01 9.715768e-01 1.008068e+00 1.088262e+00 1.093077e+00 1.138256e+00 1.158713e+00 
46 553 1.258307e-01 1.153671e+00 7.558637e-01 7.558637e-01 7.798871e-01 8.180388e-01 8.243864e-01 8.459289e-01 8.546310e-01 8.667903e-01 8.713398e-01 8.999373e-01 9.139211e-01 9.381829e-01 9.493266e-01 9.704439e-01 1.011082e+00 1.086647e+00 1.102407e+00 1.145490e+00 1.153671e+00 
47 565 1.314736e-01 1.193539e+00 7.510452e-01 7.510452e-01 7.865031e-01 8.155921e-01 8.338001e-01 8.433536e-01 8.518493e-01 8.614470e-01 8.726752e-01 8.964020e-01 9.122974e-01 9.392542e-01 9.445213e-01 9.682626e-01 1.006797e+00 1.085207e+00 1.098439e+00 1.143257e+00 1.193539e+00 
48 577 1.395214e-01 1.214231e+00 7.458452e-01 7.458452e-01 7.833713e-01 8.148104e-01 8.291095e-01 8.391952e-01 8.473344e-01 8.628396e-01 8.685253e-01 8.987076e-01 9.281005e-01 9.354881e-01 9.564000e-01 9.777723e-01 1.010896e+00 1.079778e+00 1.092235e+00 1.135775e+00 1.214231e+00 
49 589 1.552744e-01 1.232568e+00 7.426355e-01 7.426355e-01 7.794032e-01 8.132446e-01 8.296090e-01 8.365292e-01 8.455169e-01 8.634036e-01 8.670628e-01 8.964273e-01 9.247903e-01 9.326929e-01 9.666736e-01 9.798282e-01 1.025552e+00 1.075273e+00 1.090389e+00 1.138707e+00 1.232568e+00 
50 601 1.704195e-01 1.240941e+00 7.380018e-01 7.380018e-01 7.752470e-01 8.124592e-01 8.263163e-01 8.313721e-01 8.430211e-01 8.599109e-01 8.628176e-01 8.927808e-01 9.273441e-01 9.331020e-01 9.645438e-01 9.770839e-01 1.035883e+00 1.073197e+00 1.104943e+00 1.137475e+00 1.240941e+00 
51 613 1.777395e-01 1.240906e+00 7.335824e-01 7.335824e-01 7.698946e-01 8.127636e-01 8.249326e-01 8.260389e-01 8.401293e-01 8.593034e-01 8.622777e-01 8.876481e-01 9.233688e-01 9.291149e-01 9.579060e-01 9.737549e-01 1.032292e+00 1.067281e+00 1.113513e+00 1.149607e+00 1.240906e+00 
52 625 1.851404e-01 1.246482e+00 7.287940e-01 7.287940e-01 7.662274e-01 8.082841e-01 8.206172e-01 8.243008e-01 8.356641e-01 8.548617e-01 8.617307e-01 8.914899e-01 9.222391e-01 9.256960e-01 9.548931e-01 9.685041e-01 1.031341e+00 1.059954e+00 1.107945e+00 1.179510e+00 1.246482e+00 
53 637 1.929170e-01 1.246196e+00 7.243895e-01 7.243895e-01 7.625981e-01 8.042037e-01 8.182696e-01 8.201895e-01 8.379140e-01 8.549664e-01 8.636053e-01 8.878681e-01 9.171261e-01 9.308885e-01 9.540251e-01 9.630272e-01 1.026669e+00 1.056468e+00 1.103598e+00 1.206418e+00 1.246196e+00 
54 649 1.906704e-01 1.254902e+00 7.196654e-01 7.196654e-01 7.590500e-01 8.002866e-01 8.127692e-01 8.158438e-01 8.337495e-01 8.507821e-01 8.601198e-01 8.858476e-01 9.114032e-01 9.274360e-01 9.486326e-01 9.563778e-01 1.020302e+00 1.057045e+00 1.100064e+00 1.211211e+00 1.254902e+00 
55 661 1.912505e-01 1.257600e+00 7.172145e-01 7.172145e-01 7.541886e-01 8.020635e-01 8.101423e-01 8.178618e-01 8.324916e-01 8.489284e-01 8.740328e-01 8.832302e-01 9.088914e-01 9.310744e-01 9.436498e-01 9.501528e-01 1.017721e+00 1.053036e+00 1.093000e+00 1.207960e+00 1.257600e+00 
56 673 1.821491e-01 1.257697e+00 7.120445e-01 7.120445e-01 7.495596e-01 7.998782e-01 8.052309e-01 8.137836e-01 8.312606e-01 8.467807e-01 8.714518e-01 8.785935e-01 9.092761e-01 9.305571e-01 9.397048e-01 9.453749e-01 1.018983e+00 1.049497e+00 1.088590e+00 1.206170e+00 1.257697e+00 
57 685 1.733266e-01 1.260699e+00 7.082050e-01 7.082050e-01 7.445917e-01 7.978103e-01 8.020973e-01 8.124071e-01 8.274623e-01 8.450201e-01 8.657668e-01 8.728203e-01 9.057096e-01 9.282448e-01 9.335534e-01 9.503088e-01 1.016234e+00 1.044091e+00 1.082614e+00 1.205947e+00 1.260699e+00 
58 697 1.710268e-01 1.269901e+00 7.043844e-01 7.043844e-01 7.396210e-01 7.933442e-01 8.033383e-01 8.119912e-01 8.245937e-01 8.467295e-01 8.639895e-01 8.715357e-01 9.054948e-01 9.238319e-01 9.309916e-01 9.652506e-01 1.029770e+00 1.037643e+00 1.088173e+00 1.200128e+00 1.269901e+00 
