%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=212695, 2017/09/27 23:0:50.97)
80 961 1.205439e-01 1.272003e+00 6.242725e-01 6.242725e-01 6.631353e-01 7.436247e-01 7.527934e-01 7.570973e-01 8.119947e-01 8.229240e-01 8.349840e-01 8.595531e-01 8.820309e-01 8.913218e-01 9.095672e-01 9.757047e-01 9.933848e-01 1.046757e+00 1.084622e+00 1.237500e+00 1.272003e+00 
81 973 1.173814e-01 1.271195e+00 6.237831e-01 6.237831e-01 6.609699e-01 7.399695e-01 7.474355e-01 7.561786e-01 8.064657e-01 8.218343e-01 8.343776e-01 8.578525e-01 8.766924e-01 8.895716e-01 9.096721e-01 9.771690e-01 9.873145e-01 1.045718e+00 1.090435e+00 1.235246e+00 1.271195e+00 
82 985 1.162955e-01 1.268936e+00 6.234585e-01 6.234585e-01 6.568782e-01 7.364177e-01 7.466662e-01 7.685796e-01 8.014050e-01 8.187998e-01 8.283289e-01 8.562672e-01 8.721541e-01 8.916833e-01 9.068789e-01 9.736656e-01 9.835162e-01 1.044021e+00 1.096268e+00 1.238517e+00 1.268936e+00 
83 997 1.157669e-01 1.270042e+00 6.199397e-01 6.199397e-01 6.529050e-01 7.335785e-01 7.540158e-01 7.675237e-01 7.985192e-01 8.145384e-01 8.240163e-01 8.537781e-01 8.717810e-01 8.942708e-01 9.156093e-01 9.682804e-01 9.800314e-01 1.047989e+00 1.098380e+00 1.237129e+00 1.270042e+00 
84 1009 1.144113e-01 1.267761e+00 6.180607e-01 6.180607e-01 6.500316e-01 7.296687e-01 7.514795e-01 7.638839e-01 8.004524e-01 8.151581e-01 8.207523e-01 8.479342e-01 8.695909e-01 8.934452e-01 9.191066e-01 9.674342e-01 9.781009e-01 1.045813e+00 1.104184e+00 1.233992e+00 1.267761e+00 
85 1021 1.159889e-01 1.261401e+00 6.142151e-01 6.142151e-01 6.465090e-01 7.294892e-01 7.478669e-01 7.615526e-01 7.954999e-01 8.148689e-01 8.270189e-01 8.433281e-01 8.650047e-01 8.881521e-01 9.190902e-01 9.636437e-01 9.822392e-01 1.045795e+00 1.117641e+00 1.230316e+00 1.261401e+00 
86 1033 1.165740e-01 1.263591e+00 6.103293e-01 6.103293e-01 6.423715e-01 7.327870e-01 7.433220e-01 7.676250e-01 8.079195e-01 8.103181e-01 8.283514e-01 8.393329e-01 8.630910e-01 8.841621e-01 9.207845e-01 9.687668e-01 9.813412e-01 1.039980e+00 1.124804e+00 1.228835e+00 1.263591e+00 
87 1045 1.179183e-01 1.284263e+00 6.073400e-01 6.073400e-01 6.421763e-01 7.342896e-01 7.400288e-01 7.719733e-01 8.047470e-01 8.060544e-01 8.281076e-01 8.342891e-01 8.638457e-01 8.816086e-01 9.157103e-01 9.654337e-01 9.998509e-01 1.045972e+00 1.125822e+00 1.221991e+00 1.284263e+00 
88 1057 1.220202e-01 1.300466e+00 6.029505e-01 6.029505e-01 6.403395e-01 7.345944e-01 7.454849e-01 7.800773e-01 8.002849e-01 8.094044e-01 8.245120e-01 8.417689e-01 8.635599e-01 8.796317e-01 9.123157e-01 9.609295e-01 9.945217e-01 1.041690e+00 1.123890e+00 1.217725e+00 1.300466e+00 
89 1069 1.220290e-01 1.305080e+00 5.991447e-01 5.991447e-01 6.359956e-01 7.298873e-01 7.411119e-01 7.790942e-01 7.978542e-01 8.073990e-01 8.199256e-01 8.380600e-01 8.670961e-01 8.911756e-01 9.098751e-01 9.570650e-01 9.882503e-01 1.037540e+00 1.123165e+00 1.210713e+00 1.305080e+00 
90 1081 1.228542e-01 1.318751e+00 5.958988e-01 5.958988e-01 6.336511e-01 7.334787e-01 7.390690e-01 7.808229e-01 7.958638e-01 8.036308e-01 8.188408e-01 8.359476e-01 8.643906e-01 8.936879e-01 9.138871e-01 9.539355e-01 9.847253e-01 1.032068e+00 1.122128e+00 1.204116e+00 1.318751e+00 
91 1093 1.241987e-01 1.344847e+00 5.934088e-01 5.934088e-01 6.323276e-01 7.292273e-01 7.367338e-01 7.785721e-01 7.922027e-01 7.992376e-01 8.178579e-01 8.315010e-01 8.602448e-01 8.903506e-01 9.212894e-01 9.523467e-01 9.816262e-01 1.030371e+00 1.123000e+00 1.197767e+00 1.344847e+00 
92 1105 1.249997e-01 1.362038e+00 5.912459e-01 5.912459e-01 6.291696e-01 7.255207e-01 7.347441e-01 7.754440e-01 7.873664e-01 7.946245e-01 8.138426e-01 8.281424e-01 8.564530e-01 8.853646e-01 9.331575e-01 9.629714e-01 9.786407e-01 1.029876e+00 1.119113e+00 1.194474e+00 1.362038e+00 
93 1117 1.246271e-01 1.368924e+00 5.878407e-01 5.878407e-01 6.254461e-01 7.249967e-01 7.379075e-01 7.723031e-01 7.845640e-01 7.929836e-01 8.136605e-01 8.282294e-01 8.514041e-01 8.853829e-01 9.413677e-01 9.583309e-01 9.773350e-01 1.028937e+00 1.122060e+00 1.189073e+00 1.368924e+00 
94 1129 1.242149e-01 1.375109e+00 5.865841e-01 5.865841e-01 6.232450e-01 7.220034e-01 7.352244e-01 7.671147e-01 7.797787e-01 7.911643e-01 8.088749e-01 8.239621e-01 8.504910e-01 8.802850e-01 9.420081e-01 9.634174e-01 9.764641e-01 1.029052e+00 1.131104e+00 1.182850e+00 1.375109e+00 
95 1141 1.259876e-01 1.382421e+00 5.846078e-01 5.846078e-01 6.199344e-01 7.174100e-01 7.322436e-01 7.658182e-01 7.806753e-01 7.863245e-01 8.058970e-01 8.210197e-01 8.469172e-01 8.772359e-01 9.369642e-01 9.657120e-01 9.775776e-01 1.042416e+00 1.133049e+00 1.178059e+00 1.382421e+00 
96 1153 1.293571e-01 1.407958e+00 5.819580e-01 5.819580e-01 6.170069e-01 7.126709e-01 7.290637e-01 7.649508e-01 7.799856e-01 7.818866e-01 8.051349e-01 8.162241e-01 8.419994e-01 8.721089e-01 9.366000e-01 9.607506e-01 9.739898e-01 1.043395e+00 1.143697e+00 1.179751e+00 1.407958e+00 
97 1165 1.262385e-01 1.421155e+00 5.780948e-01 5.780948e-01 6.156116e-01 7.084278e-01 7.267441e-01 7.609599e-01 7.744714e-01 7.850386e-01 8.001078e-01 8.169314e-01 8.387000e-01 8.748247e-01 9.377246e-01 9.615641e-01 9.745303e-01 1.045792e+00 1.141984e+00 1.176758e+00 1.421155e+00 
98 1177 1.225309e-01 1.420600e+00 5.743460e-01 5.743460e-01 6.126455e-01 7.032453e-01 7.231122e-01 7.641050e-01 7.708905e-01 7.859565e-01 8.019950e-01 8.159983e-01 8.464035e-01 8.697745e-01 9.380332e-01 9.585504e-01 9.734676e-01 1.041165e+00 1.139378e+00 1.177890e+00 1.420600e+00 
99 1189 1.181344e-01 1.414998e+00 5.720121e-01 5.720121e-01 6.087477e-01 7.035534e-01 7.233505e-01 7.615331e-01 7.725159e-01 7.881686e-01 7.996293e-01 8.208610e-01 8.456650e-01 8.820418e-01 9.338851e-01 9.554771e-01 9.693328e-01 1.034057e+00 1.137696e+00 1.174013e+00 1.414998e+00 
100 1201 1.126683e-01 1.418298e+00 5.680783e-01 5.680783e-01 6.045265e-01 7.010060e-01 7.208805e-01 7.574924e-01 7.744478e-01 7.845349e-01 7.995585e-01 8.193980e-01 8.413293e-01 8.843477e-01 9.351948e-01 9.517614e-01 9.680093e-01 1.032644e+00 1.132422e+00 1.174211e+00 1.418298e+00 
101 1213 1.067467e-01 1.421419e+00 5.643646e-01 5.643646e-01 6.010939e-01 6.964499e-01 7.162141e-01 7.610348e-01 7.690898e-01 7.796173e-01 7.967736e-01 8.152499e-01 8.361993e-01 8.878205e-01 9.304325e-01 9.478909e-01 9.685296e-01 1.028383e+00 1.129687e+00 1.170256e+00 1.421419e+00 
102 1225 1.005359e-01 1.421280e+00 5.614617e-01 5.614617e-01 5.979439e-01 6.941595e-01 7.128090e-01 7.573130e-01 7.646947e-01 7.783677e-01 7.937524e-01 8.118917e-01 8.327164e-01 8.892261e-01 9.255625e-01 9.471051e-01 9.705594e-01 1.027571e+00 1.127847e+00 1.167778e+00 1.421280e+00 
103 1237 1.010369e-01 1.413570e+00 5.585808e-01 5.585808e-01 5.958911e-01 6.946070e-01 7.110235e-01 7.545722e-01 7.648927e-01 7.771853e-01 7.898525e-01 8.269831e-01 8.382734e-01 8.884144e-01 9.240820e-01 9.541140e-01 9.734511e-01 1.024101e+00 1.126082e+00 1.172511e+00 1.413570e+00 
104 1249 1.002172e-01 1.411203e+00 5.557843e-01 5.557843e-01 5.933647e-01 6.963046e-01 7.076200e-01 7.522125e-01 7.610212e-01 7.766472e-01 7.876916e-01 8.322697e-01 8.375437e-01 8.929389e-01 9.205272e-01 9.638221e-01 9.721704e-01 1.027142e+00 1.133313e+00 1.167868e+00 1.411203e+00 
105 1261 9.832656e-02 1.445410e+00 5.528126e-01 5.528126e-01 5.898034e-01 6.944448e-01 7.049208e-01 7.497447e-01 7.578669e-01 7.733233e-01 7.832608e-01 8.318706e-01 8.360018e-01 8.930061e-01 9.167248e-01 9.669509e-01 9.700863e-01 1.021121e+00 1.126047e+00 1.166899e+00 1.445410e+00 
106 1273 1.000042e-01 1.541880e+00 5.488701e-01 5.488701e-01 5.877174e-01 6.924436e-01 7.047595e-01 7.465213e-01 7.556707e-01 7.737034e-01 7.881644e-01 8.316636e-01 8.356396e-01 8.888326e-01 9.206839e-01 9.635690e-01 9.680625e-01 1.015061e+00 1.118434e+00 1.166053e+00 1.541880e+00 
107 1285 9.962576e-02 1.556958e+00 5.483744e-01 5.483744e-01 5.859538e-01 6.910368e-01 7.005390e-01 7.430490e-01 7.608410e-01 7.758007e-01 7.849596e-01 8.258582e-01 8.357139e-01 8.870140e-01 9.190886e-01 9.661483e-01 9.794621e-01 1.010290e+00 1.116323e+00 1.158877e+00 1.556958e+00 
108 1297 1.009168e-01 1.583802e+00 5.446544e-01 5.446544e-01 5.822246e-01 6.868175e-01 6.971512e-01 7.380358e-01 7.566096e-01 7.714778e-01 7.867227e-01 8.206851e-01 8.381675e-01 8.811422e-01 9.210288e-01 9.622078e-01 9.969553e-01 1.013692e+00 1.121423e+00 1.151578e+00 1.583802e+00 
109 1309 1.026261e-01 1.591269e+00 5.418176e-01 5.418176e-01 5.794213e-01 6.831230e-01 6.961159e-01 7.376525e-01 7.544992e-01 7.703936e-01 7.820908e-01 8.277612e-01 8.336218e-01 8.767465e-01 9.166492e-01 9.598592e-01 9.972342e-01 1.016643e+00 1.131703e+00 1.152795e+00 1.591269e+00 
110 1321 1.080852e-01 1.595751e+00 5.416497e-01 5.416497e-01 5.753773e-01 6.803967e-01 6.957725e-01 7.343040e-01 7.516067e-01 7.661185e-01 7.854647e-01 8.242794e-01 8.293885e-01 8.756655e-01 9.145533e-01 9.551061e-01 1.000011e+00 1.045547e+00 1.148623e+00 1.165071e+00 1.595751e+00 
111 1333 1.109052e-01 1.596122e+00 5.381444e-01 5.381444e-01 5.727813e-01 6.760435e-01 6.919803e-01 7.326829e-01 7.494485e-01 7.633811e-01 7.831224e-01 8.190195e-01 8.280152e-01 8.727918e-01 9.101171e-01 9.663095e-01 9.985345e-01 1.044913e+00 1.151107e+00 1.201071e+00 1.596122e+00 
112 1345 1.140140e-01 1.600856e+00 5.361856e-01 5.361856e-01 5.695014e-01 6.752092e-01 6.914794e-01 7.312013e-01 7.472517e-01 7.604332e-01 7.822765e-01 8.179615e-01 8.318501e-01 8.732335e-01 9.059920e-01 9.657094e-01 1.001624e+00 1.045414e+00 1.151923e+00 1.224251e+00 1.600856e+00 
113 1357 1.146612e-01 1.600954e+00 5.327948e-01 5.327948e-01 5.684161e-01 6.749120e-01 6.889325e-01 7.277141e-01 7.467902e-01 7.556352e-01 7.783333e-01 8.151525e-01 8.450849e-01 8.697114e-01 9.068131e-01 9.649060e-01 9.968658e-01 1.042361e+00 1.146256e+00 1.242787e+00 1.600954e+00 
114 1369 1.146149e-01 1.599114e+00 5.301662e-01 5.301662e-01 5.685328e-01 6.738516e-01 6.938311e-01 7.234574e-01 7.465433e-01 7.533947e-01 7.775377e-01 8.122716e-01 8.508232e-01 8.681264e-01 9.080334e-01 9.603041e-01 9.926371e-01 1.038109e+00 1.143296e+00 1.264846e+00 1.599114e+00 
115 1381 1.124481e-01 1.592623e+00 5.264190e-01 5.264190e-01 5.656728e-01 6.746660e-01 6.971527e-01 7.214991e-01 7.424229e-01 7.501266e-01 7.740207e-01 8.071424e-01 8.478085e-01 8.652193e-01 9.035379e-01 9.617601e-01 9.946473e-01 1.033880e+00 1.149177e+00 1.271730e+00 1.592623e+00 
116 1393 1.145383e-01 1.630872e+00 5.252911e-01 5.252911e-01 5.628185e-01 6.714109e-01 6.951375e-01 7.167943e-01 7.410977e-01 7.503718e-01 7.810679e-01 8.052831e-01 8.458220e-01 8.688001e-01 8.996295e-01 9.570273e-01 9.925842e-01 1.034614e+00 1.148116e+00 1.270292e+00 1.630872e+00 
117 1405 1.188620e-01 1.666466e+00 5.223121e-01 5.223121e-01 5.589602e-01 6.672402e-01 6.923409e-01 7.120630e-01 7.368266e-01 7.488491e-01 7.813614e-01 8.019068e-01 8.475346e-01 8.739372e-01 8.975151e-01 9.553261e-01 9.946284e-01 1.031195e+00 1.141490e+00 1.270746e+00 1.666466e+00 
118 1417 1.215486e-01 1.677973e+00 5.187810e-01 5.187810e-01 5.552939e-01 6.652417e-01 6.944664e-01 7.088539e-01 7.360667e-01 7.479173e-01 7.790875e-01 8.055592e-01 8.513922e-01 8.785089e-01 8.967908e-01 9.680425e-01 9.987258e-01 1.027128e+00 1.135349e+00 1.264228e+00 1.677973e+00 
119 1429 1.212701e-01 1.679129e+00 5.160827e-01 5.160827e-01 5.526428e-01 6.743508e-01 6.966101e-01 7.083796e-01 7.330762e-01 7.571388e-01 7.817587e-01 8.013368e-01 8.476761e-01 8.744748e-01 9.041419e-01 9.669196e-01 9.952517e-01 1.022587e+00 1.132520e+00 1.269335e+00 1.679129e+00 
120 1441 1.212274e-01 1.675845e+00 5.152638e-01 5.152638e-01 5.496086e-01 6.742389e-01 6.930838e-01 7.079709e-01 7.324345e-01 7.580812e-01 7.770784e-01 7.993388e-01 8.456517e-01 8.720536e-01 9.139547e-01 9.686652e-01 9.959539e-01 1.022814e+00 1.126480e+00 1.278726e+00 1.675845e+00 
121 1453 1.234710e-01 1.677128e+00 5.134589e-01 5.134589e-01 5.462651e-01 6.750035e-01 6.919070e-01 7.035906e-01 7.297832e-01 7.572627e-01 7.777682e-01 7.954626e-01 8.444822e-01 8.703668e-01 9.110298e-01 9.745384e-01 9.976004e-01 1.025722e+00 1.131421e+00 1.281247e+00 1.677128e+00 
122 1465 1.191362e-01 1.670231e+00 5.106279e-01 5.106279e-01 5.437490e-01 6.748381e-01 6.968715e-01 7.040852e-01 7.280769e-01 7.541290e-01 7.772353e-01 7.930378e-01 8.430241e-01 8.662861e-01 9.070820e-01 9.703025e-01 9.954215e-01 1.026537e+00 1.142391e+00 1.276829e+00 1.670231e+00 
123 1477 1.131865e-01 1.680830e+00 5.081104e-01 5.081104e-01 5.406961e-01 6.750285e-01 6.929583e-01 7.006110e-01 7.245913e-01 7.508041e-01 7.761373e-01 7.875729e-01 8.416230e-01 8.676863e-01 9.113915e-01 9.690946e-01 9.934633e-01 1.028224e+00 1.150367e+00 1.280368e+00 1.680830e+00 
124 1489 1.092805e-01 1.673129e+00 5.048066e-01 5.048066e-01 5.371931e-01 6.725022e-01 6.892350e-01 6.959116e-01 7.267134e-01 7.463928e-01 7.721003e-01 7.832396e-01 8.459090e-01 8.637338e-01 9.124756e-01 9.625969e-01 9.887879e-01 1.038295e+00 1.150770e+00 1.275281e+00 1.673129e+00 
125 1501 1.060855e-01 1.675270e+00 5.018184e-01 5.018184e-01 5.334705e-01 6.709930e-01 6.854889e-01 6.960745e-01 7.254212e-01 7.431443e-01 7.715709e-01 7.793944e-01 8.430087e-01 8.590841e-01 9.135838e-01 9.624261e-01 9.977537e-01 1.034867e+00 1.146276e+00 1.282495e+00 1.675270e+00 
126 1513 1.032613e-01 1.691433e+00 4.986534e-01 4.986534e-01 5.297872e-01 6.676898e-01 6.854573e-01 6.925982e-01 7.227227e-01 7.438577e-01 7.680067e-01 7.772860e-01 8.399412e-01 8.543777e-01 9.117343e-01 9.634237e-01 9.996721e-01 1.032501e+00 1.142185e+00 1.279209e+00 1.691433e+00 
127 1525 9.865336e-02 1.696851e+00 4.963271e-01 4.963271e-01 5.304053e-01 6.631067e-01 6.819643e-01 6.957989e-01 7.200441e-01 7.466658e-01 7.690294e-01 7.778025e-01 8.406789e-01 8.524502e-01 9.097327e-01 9.580893e-01 9.989227e-01 1.034451e+00 1.149701e+00 1.272774e+00 1.696851e+00 
128 1537 9.347578e-02 1.693346e+00 4.943438e-01 4.943438e-01 5.268881e-01 6.591082e-01 6.797341e-01 6.936291e-01 7.180553e-01 7.429353e-01 7.657861e-01 7.764896e-01 8.355106e-01 8.499374e-01 9.057160e-01 9.576951e-01 9.957093e-01 1.042954e+00 1.143657e+00 1.264986e+00 1.693346e+00 
129 1549 8.794257e-02 1.686413e+00 4.918128e-01 4.918128e-01 5.246163e-01 6.564539e-01 6.771669e-01 6.932651e-01 7.163610e-01 7.435197e-01 7.624040e-01 7.728685e-01 8.312950e-01 8.493663e-01 9.027806e-01 9.571958e-01 9.904622e-01 1.045069e+00 1.139331e+00 1.263913e+00 1.686413e+00 
130 1561 8.604303e-02 1.681193e+00 4.891933e-01 4.891933e-01 5.251508e-01 6.556572e-01 6.778599e-01 6.900837e-01 7.200682e-01 7.477706e-01 7.598069e-01 7.705100e-01 8.290035e-01 8.459152e-01 8.972254e-01 9.563154e-01 9.941755e-01 1.045232e+00 1.136535e+00 1.265078e+00 1.681193e+00 
131 1573 8.225210e-02 1.669640e+00 4.856687e-01 4.856687e-01 5.227145e-01 6.532107e-01 6.826077e-01 6.863966e-01 7.176585e-01 7.482881e-01 7.556507e-01 7.701598e-01 8.262120e-01 8.410089e-01 8.926278e-01 9.555899e-01 9.908321e-01 1.057472e+00 1.133174e+00 1.268103e+00 1.669640e+00 
132 1585 8.156870e-02 1.662950e+00 4.825752e-01 4.825752e-01 5.191824e-01 6.515689e-01 6.788683e-01 6.859028e-01 7.135889e-01 7.449139e-01 7.514400e-01 7.716646e-01 8.235259e-01 8.378262e-01 8.914361e-01 9.531033e-01 9.876533e-01 1.054957e+00 1.140904e+00 1.281514e+00 1.662950e+00 
133 1597 7.903121e-02 1.655016e+00 4.810606e-01 4.810606e-01 5.173778e-01 6.489641e-01 6.756959e-01 6.831283e-01 7.120129e-01 7.405829e-01 7.491009e-01 7.705451e-01 8.215108e-01 8.346290e-01 8.877218e-01 9.551133e-01 9.821566e-01 1.050882e+00 1.147438e+00 1.284219e+00 1.655016e+00 
134 1609 7.460038e-02 1.648242e+00 4.786701e-01 4.786701e-01 5.156382e-01 6.455251e-01 6.725338e-01 6.815507e-01 7.076513e-01 7.381005e-01 7.449543e-01 7.709938e-01 8.196945e-01 8.297123e-01 8.833959e-01 9.535481e-01 9.822933e-01 1.046776e+00 1.146546e+00 1.282561e+00 1.648242e+00 
135 1621 7.589470e-02 1.668916e+00 4.760858e-01 4.760858e-01 5.145885e-01 6.429857e-01 6.678214e-01 6.786848e-01 7.063705e-01 7.372219e-01 7.416988e-01 7.689980e-01 8.197516e-01 8.283724e-01 8.800222e-01 9.578125e-01 9.765909e-01 1.043083e+00 1.148434e+00 1.294127e+00 1.668916e+00 
136 1633 7.665179e-02 1.665354e+00 4.729603e-01 4.729603e-01 5.125054e-01 6.399162e-01 6.644452e-01 6.751071e-01 7.041410e-01 7.366666e-01 7.434290e-01 7.685727e-01 8.193896e-01 8.289813e-01 8.858223e-01 9.619378e-01 9.783284e-01 1.041808e+00 1.144988e+00 1.297257e+00 1.665354e+00 
137 1645 7.758742e-02 1.658141e+00 4.696399e-01 4.696399e-01 5.124811e-01 6.363287e-01 6.614922e-01 6.720572e-01 6.995039e-01 7.323308e-01 7.400866e-01 7.694616e-01 8.158637e-01 8.376382e-01 8.861352e-01 9.673135e-01 9.762828e-01 1.039544e+00 1.142908e+00 1.298151e+00 1.658141e+00 
138 1657 7.897297e-02 1.651752e+00 4.673662e-01 4.673662e-01 5.113114e-01 6.323953e-01 6.589988e-01 6.680271e-01 6.973202e-01 7.284696e-01 7.497085e-01 7.720519e-01 8.123757e-01 8.417611e-01 8.849267e-01 9.645798e-01 9.730094e-01 1.049548e+00 1.146684e+00 1.296903e+00 1.651752e+00 
139 1669 7.768904e-02 1.646414e+00 4.649799e-01 4.649799e-01 5.095914e-01 6.321022e-01 6.559193e-01 6.655740e-01 6.948320e-01 7.254075e-01 7.506640e-01 7.714558e-01 8.126654e-01 8.460426e-01 8.799979e-01 9.636914e-01 9.720420e-01 1.066023e+00 1.152350e+00 1.290248e+00 1.646414e+00 
140 1681 7.868903e-02 1.648055e+00 4.632476e-01 4.632476e-01 5.069283e-01 6.308954e-01 6.540313e-01 6.624817e-01 6.919813e-01 7.225768e-01 7.470171e-01 7.680531e-01 8.154906e-01 8.515879e-01 8.769454e-01 9.594981e-01 9.704280e-01 1.078155e+00 1.154081e+00 1.300119e+00 1.648055e+00 
141 1693 7.515967e-02 1.644000e+00 4.611239e-01 4.611239e-01 5.047597e-01 6.290463e-01 6.523750e-01 6.594015e-01 6.890940e-01 7.190213e-01 7.467968e-01 7.666414e-01 8.145108e-01 8.555776e-01 8.726944e-01 9.574017e-01 9.680459e-01 1.080894e+00 1.158692e+00 1.299562e+00 1.644000e+00 
142 1705 7.354312e-02 1.642464e+00 4.577966e-01 4.577966e-01 5.029779e-01 6.260089e-01 6.490543e-01 6.570547e-01 6.844473e-01 7.177721e-01 7.492097e-01 7.626590e-01 8.149443e-01 8.535814e-01 8.804842e-01 9.529683e-01 9.736678e-01 1.084783e+00 1.155772e+00 1.297823e+00 1.642464e+00 
143 1717 6.996135e-02 1.640533e+00 4.552845e-01 4.552845e-01 5.007536e-01 6.235246e-01 6.463389e-01 6.544862e-01 6.818152e-01 7.131602e-01 7.438337e-01 7.582573e-01 8.116790e-01 8.495665e-01 8.794528e-01 9.540726e-01 9.688404e-01 1.084464e+00 1.148495e+00 1.291643e+00 1.640533e+00 
144 1729 6.734192e-02 1.636343e+00 4.536550e-01 4.536550e-01 4.984497e-01 6.199836e-01 6.425164e-01 6.520590e-01 6.782335e-01 7.134940e-01 7.408511e-01 7.530153e-01 8.116219e-01 8.467700e-01 8.785814e-01 9.511635e-01 9.645205e-01 1.084297e+00 1.150257e+00 1.285102e+00 1.636343e+00 
145 1741 6.810602e-02 1.643538e+00 4.514741e-01 4.514741e-01 4.973410e-01 6.185402e-01 6.393774e-01 6.535183e-01 6.796975e-01 7.119976e-01 7.385266e-01 7.531617e-01 8.087661e-01 8.471991e-01 8.786606e-01 9.480667e-01 9.793208e-01 1.086282e+00 1.143427e+00 1.310785e+00 1.643538e+00 
146 1753 7.033363e-02 1.649944e+00 4.489627e-01 4.489627e-01 4.956127e-01 6.170162e-01 6.433905e-01 6.524459e-01 6.757133e-01 7.069563e-01 7.358866e-01 7.524549e-01 8.076618e-01 8.451061e-01 8.833219e-01 9.531893e-01 9.831463e-01 1.105373e+00 1.145394e+00 1.317391e+00 1.649944e+00 
147 1765 6.984755e-02 1.657123e+00 4.458729e-01 4.458729e-01 4.945671e-01 6.142093e-01 6.459510e-01 6.560959e-01 6.799155e-01 7.038504e-01 7.363576e-01 7.564736e-01 8.088117e-01 8.428530e-01 8.813799e-01 9.484859e-01 9.942433e-01 1.110592e+00 1.142524e+00 1.320024e+00 1.657123e+00 
148 1777 7.315470e-02 1.651105e+00 4.450194e-01 4.450194e-01 4.966487e-01 6.124597e-01 6.430699e-01 6.607773e-01 6.821914e-01 7.064007e-01 7.422877e-01 7.580433e-01 8.137426e-01 8.414046e-01 8.952934e-01 9.479657e-01 1.009294e+00 1.108089e+00 1.137725e+00 1.316243e+00 1.651105e+00 
149 1789 7.516612e-02 1.643874e+00 4.422899e-01 4.422899e-01 4.953925e-01 6.081672e-01 6.415748e-01 6.579155e-01 6.816539e-01 7.027579e-01 7.407921e-01 7.585925e-01 8.123154e-01 8.423350e-01 9.068052e-01 9.431417e-01 1.023221e+00 1.105603e+00 1.142326e+00 1.326310e+00 1.643874e+00 
150 1801 7.398218e-02 1.632327e+00 4.408679e-01 4.408679e-01 4.947627e-01 6.059313e-01 6.378696e-01 6.562552e-01 6.801146e-01 7.034705e-01 7.367174e-01 7.586860e-01 8.091642e-01 8.407107e-01 9.082010e-01 9.397653e-01 1.032029e+00 1.103676e+00 1.142805e+00 1.321111e+00 1.632327e+00 
151 1813 7.141384e-02 1.621047e+00 4.380998e-01 4.380998e-01 4.927706e-01 6.093722e-01 6.370017e-01 6.588202e-01 6.786255e-01 7.014386e-01 7.315104e-01 7.561034e-01 8.070470e-01 8.349834e-01 9.104348e-01 9.354407e-01 1.041861e+00 1.110783e+00 1.145661e+00 1.318314e+00 1.621047e+00 
152 1825 6.802477e-02 1.621647e+00 4.356733e-01 4.356733e-01 4.922337e-01 6.068277e-01 6.357949e-01 6.573216e-01 6.765603e-01 7.039601e-01 7.269616e-01 7.511083e-01 8.029801e-01 8.301336e-01 9.062858e-01 9.326222e-01 1.039376e+00 1.117713e+00 1.144994e+00 1.310581e+00 1.621647e+00 
153 1837 6.567926e-02 1.616273e+00 4.334639e-01 4.334639e-01 4.897883e-01 6.054352e-01 6.366611e-01 6.569076e-01 6.735613e-01 7.039108e-01 7.257734e-01 7.467248e-01 7.978309e-01 8.301943e-01 9.037160e-01 9.312351e-01 1.036538e+00 1.117695e+00 1.143684e+00 1.313868e+00 1.616273e+00 
154 1849 6.363683e-02 1.609297e+00 4.311290e-01 4.311290e-01 4.882320e-01 6.060179e-01 6.360975e-01 6.598823e-01 6.718885e-01 6.997483e-01 7.247520e-01 7.440556e-01 7.929034e-01 8.308438e-01 9.009515e-01 9.327379e-01 1.032346e+00 1.113511e+00 1.142246e+00 1.309534e+00 1.609297e+00 
155 1861 6.483727e-02 1.604324e+00 4.305818e-01 4.305818e-01 4.872005e-01 6.145496e-01 6.325162e-01 6.611393e-01 6.699240e-01 6.968151e-01 7.237856e-01 7.411835e-01 7.995996e-01 8.265951e-01 8.963131e-01 9.265760e-01 1.030545e+00 1.106329e+00 1.154923e+00 1.309103e+00 1.604324e+00 
156 1873 6.620145e-02 1.601652e+00 4.298570e-01 4.298570e-01 4.884940e-01 6.132406e-01 6.373663e-01 6.578381e-01 6.745715e-01 6.926098e-01 7.221677e-01 7.397518e-01 8.037500e-01 8.230380e-01 8.904323e-01 9.270893e-01 1.028180e+00 1.102607e+00 1.157682e+00 1.328721e+00 1.601652e+00 
157 1885 6.563735e-02 1.603369e+00 4.274173e-01 4.274173e-01 4.878840e-01 6.102784e-01 6.390486e-01 6.585947e-01 6.750893e-01 6.920797e-01 7.201629e-01 7.364362e-01 8.024671e-01 8.175230e-01 8.863491e-01 9.248200e-01 1.031658e+00 1.095691e+00 1.154628e+00 1.322773e+00 1.603369e+00 
158 1897 6.384382e-02 1.603951e+00 4.246190e-01 4.246190e-01 4.870220e-01 6.084792e-01 6.373828e-01 6.553649e-01 6.754374e-01 6.908957e-01 7.198673e-01 7.354151e-01 7.989171e-01 8.139591e-01 8.868077e-01 9.225037e-01 1.028165e+00 1.102271e+00 1.154937e+00 1.320207e+00 1.603951e+00 
159 1909 6.176490e-02 1.611635e+00 4.222995e-01 4.222995e-01 4.838554e-01 6.045813e-01 6.344900e-01 6.553431e-01 6.734979e-01 6.873512e-01 7.183478e-01 7.314837e-01 7.951228e-01 8.090317e-01 8.816780e-01 9.200131e-01 1.025625e+00 1.106033e+00 1.151631e+00 1.311837e+00 1.611635e+00 
