%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=212695, 2017/09/27 23:0:50.97)
1 13  1.078422186226501012e+01 0 0 1.045201e+00 6.016795e-01 1.054784e+00 1.466282e+00 1.030313e+00 7.726622e-01 1.530628e+00 1.018589e+00 1.538121e+00 1.138027e+00 1.310996e+00 8.193482e-01 1.399455e+00 4.138430e-01 1.158484e+00 8.621365e-01 1.659592e+00 1.706482e+00 
2 25  6.475597985638292364e+00 0 0 1.096911e+00 5.292927e-01 1.072819e+00 1.145822e+00 8.295878e-01 1.005261e+00 8.735066e-01 3.295649e-01 9.889970e-01 1.177842e+00 1.194798e+00 8.753226e-01 1.515172e+00 8.736104e-01 1.946718e+00 8.074173e-01 1.016621e+00 1.514799e+00 
3 37  5.497960393137312884e+00 0 0 2.070425e+00 1.110516e+00 9.369334e-01 2.292156e-01 1.032141e+00 1.290427e+00 1.409788e+00 9.283112e-01 1.632941e+00 1.661062e+00 1.192122e+00 8.945951e-01 6.662852e-01 1.187285e+00 1.900343e+00 1.155688e+00 1.507932e+00 1.066091e+00 
4 49  3.006442553492890468e+00 0 0 1.311971e+00 6.404475e-01 7.797100e-01 7.033713e-01 7.463152e-01 1.005311e+00 2.404042e+00 6.810184e-01 1.306132e+00 9.177339e-01 5.960483e-01 3.607812e-01 9.659390e-01 1.221959e+00 1.327311e+00 6.509279e-01 1.385761e+00 9.141706e-01 
5 61  2.460397507888319790e+00 0 0 1.493956e+00 5.027899e-01 8.099751e-01 9.303017e-01 1.329172e+00 2.022882e+00 1.515683e+00 3.024848e-01 1.189183e+00 1.085365e+00 9.280903e-01 3.637860e-01 1.291794e+00 4.147668e-01 1.855968e+00 7.398148e-01 7.113115e-01 1.017537e+00 
6 73  3.877906017194592714e+00 0 0 1.305404e+00 6.115511e-01 4.723832e-01 1.144643e+00 1.224967e+00 1.475534e+00 1.712889e+00 8.440890e-01 1.362498e+00 1.265313e+00 9.559511e-01 5.995932e-01 1.456319e+00 7.198325e-01 2.001893e+00 4.985403e-01 1.424642e+00 7.801472e-01 
7 85  2.273078468213238335e+00 0 0 1.251473e+00 9.147764e-01 2.700111e-01 9.604539e-01 6.938360e-01 1.009738e+00 1.785463e+00 2.292635e-01 1.284152e+00 1.803879e+00 1.272910e+00 5.817759e-01 1.567505e+00 2.876193e-01 1.737564e+00 7.267921e-01 1.484794e+00 1.391537e+00 
8 97  3.140230376131630585e+00 0 0 9.649659e-01 7.013857e-01 2.766923e-01 7.586637e-01 1.249053e+00 2.110867e+00 1.322730e+00 5.118755e-01 1.069898e+00 1.541303e+00 1.159612e+00 3.757764e-01 1.588899e+00 7.943244e-01 2.123499e+00 1.208479e+00 9.873717e-01 1.358039e+00 
9 109  4.396963188685465873e+00 0 0 1.287771e+00 1.071976e+00 4.433829e-01 5.946507e-01 8.530168e-01 1.921301e+00 1.439552e+00 8.938105e-01 1.019562e+00 1.716615e+00 1.332717e+00 5.157005e-01 1.416478e+00 -8.433245e-02 1.475308e+00 4.244715e-01 1.393630e+00 1.464172e+00 
10 121  4.154730916435881660e+00 0 0 1.388661e+00 8.603361e-01 3.151440e-01 9.143955e-01 1.376379e+00 1.624463e+00 1.873826e+00 9.247569e-01 9.498460e-01 1.600922e+00 1.167337e+00 1.824864e-01 1.727340e+00 5.633152e-01 1.338957e+00 4.364584e-01 1.372434e+00 1.299741e+00 
11 133  1.470321867845591601e+00 0 0 7.935991e-01 1.226000e+00 4.169526e-01 1.029144e+00 1.423569e+00 1.692747e+00 1.669349e+00 5.467050e-01 7.761961e-01 1.694948e+00 1.570393e+00 1.876221e-01 1.888444e+00 2.631621e-01 1.242927e+00 7.742573e-01 1.332061e+00 9.929181e-01 
12 145  4.459890022694556144e+00 0 0 1.095279e+00 8.473453e-01 8.611669e-02 6.420799e-01 1.254583e+00 1.919718e+00 1.827562e+00 2.437670e-01 1.560027e+00 2.090128e+00 1.193403e+00 -2.674409e-02 1.722450e+00 3.228398e-01 1.222178e+00 8.031843e-01 1.188396e+00 1.008398e+00 
13 157  1.921128320314234861e+00 0 0 7.222010e-01 1.437800e+00 3.179457e-02 5.254974e-01 1.539848e+00 1.461542e+00 1.923875e+00 7.286512e-01 1.761904e+00 1.945060e+00 1.363595e+00 5.979327e-01 2.216364e+00 1.656611e-01 1.410532e+00 1.056912e+00 1.341635e+00 1.468384e+00 
14 169  3.937152633747352581e+00 0 0 1.244148e+00 1.549126e+00 2.065249e-02 4.793065e-01 1.746571e+00 1.623846e+00 2.088179e+00 6.257161e-01 1.489569e+00 1.613301e+00 1.332212e+00 5.825504e-01 2.108794e+00 1.415113e-01 9.426433e-01 1.044111e+00 1.189808e+00 1.351998e+00 
15 181  4.025716823658004095e+00 0 0 1.384543e+00 1.169637e+00 4.064217e-01 4.026477e-01 1.345231e+00 1.672198e+00 1.802008e+00 1.222359e+00 1.780362e+00 1.699363e+00 1.272680e+00 4.800827e-01 1.643183e+00 5.031563e-01 1.244635e+00 6.047678e-01 1.260554e+00 9.347780e-01 
16 193  2.470575756727692696e+00 0 0 1.334198e+00 1.569004e+00 5.548032e-01 4.796289e-01 1.644778e+00 1.524296e+00 2.086509e+00 1.009340e+00 1.229342e+00 1.514339e+00 1.179579e+00 3.148782e-01 1.843382e+00 3.221065e-01 9.413023e-01 1.241013e+00 1.239873e+00 1.381707e+00 
