%  columns="iteration, evaluation, void, void, void, xmean" (startseed=212695, 2017/09/27 23:0:50.97)
0 1 0 0 0 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 
1 13 0 0 0 1.114671e+00 7.216258e-01 1.074812e+00 1.098263e+00 1.059090e+00 9.410488e-01 1.100444e+00 1.057591e+00 1.208418e+00 1.138413e+00 1.196481e+00 9.959805e-01 1.197974e+00 7.043832e-01 1.292643e+00 9.059307e-01 1.045487e+00 1.348545e+00 
2 25 0 0 0 1.208426e+00 7.853743e-01 9.950963e-01 1.126940e+00 1.022107e+00 9.263759e-01 1.269863e+00 6.819532e-01 1.140580e+00 1.201980e+00 1.098404e+00 8.737035e-01 1.278277e+00 7.635974e-01 1.465676e+00 7.759819e-01 1.062770e+00 1.358061e+00 
3 37 0 0 0 1.468110e+00 9.539403e-01 7.411037e-01 9.006102e-01 9.961383e-01 1.096955e+00 1.475816e+00 5.561230e-01 1.265452e+00 1.181301e+00 1.060213e+00 9.320222e-01 1.253308e+00 7.726054e-01 1.598258e+00 9.266546e-01 1.013552e+00 1.255247e+00 
4 49 0 0 0 1.473748e+00 7.758342e-01 7.812629e-01 8.847209e-01 1.063373e+00 1.145659e+00 1.967021e+00 5.418688e-01 1.178235e+00 1.173909e+00 8.663981e-01 6.269982e-01 1.116526e+00 9.457862e-01 1.469712e+00 8.496817e-01 1.172659e+00 9.790946e-01 
5 61 0 0 0 1.312795e+00 6.582841e-01 7.320761e-01 1.037348e+00 1.172654e+00 1.447987e+00 1.846646e+00 5.331172e-01 1.210375e+00 1.305079e+00 8.743101e-01 4.971091e-01 1.225396e+00 6.239054e-01 1.646881e+00 7.222042e-01 1.035363e+00 1.021081e+00 
6 73 0 0 0 1.329546e+00 7.284217e-01 5.601586e-01 1.001776e+00 1.313895e+00 1.413349e+00 1.738580e+00 7.383663e-01 1.336697e+00 1.298140e+00 1.041722e+00 5.019494e-01 1.273340e+00 5.604082e-01 1.815253e+00 7.422042e-01 1.242816e+00 1.005802e+00 
7 85 0 0 0 1.156635e+00 8.640477e-01 4.884772e-01 1.049977e+00 1.143518e+00 1.331876e+00 1.729529e+00 4.578834e-01 1.339122e+00 1.521549e+00 1.080780e+00 4.248361e-01 1.485685e+00 5.292254e-01 1.645756e+00 9.114889e-01 1.343602e+00 1.228843e+00 
8 97 0 0 0 1.155555e+00 7.145771e-01 3.909131e-01 1.015411e+00 1.256360e+00 1.695314e+00 1.672968e+00 5.116578e-01 1.221587e+00 1.644737e+00 1.090674e+00 3.234520e-01 1.621414e+00 4.612978e-01 1.833356e+00 8.917807e-01 1.134081e+00 1.249109e+00 
9 109 0 0 0 1.156528e+00 7.653830e-01 3.080034e-01 7.478624e-01 1.257423e+00 1.681967e+00 1.625298e+00 7.163867e-01 1.175237e+00 1.572721e+00 1.225462e+00 2.570674e-01 1.694215e+00 2.046319e-01 1.670393e+00 5.752834e-01 1.092694e+00 1.399735e+00 
