%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212695, 2017/09/27 23:0:50.97)
1 13 3.681300e-01 1.046506e+00  7.956820941580553530e+00  1.078422186226501012e+01  1.689107523753751039e+01  2.615665401572276494e+01
2 25 3.430158e-01 1.061042e+00  6.475597985638292364e+00  6.475597985638292364e+00  1.458809897884628271e+01  3.904914785520368525e+01
3 37 3.285387e-01 1.094772e+00  5.497960393137312884e+00  5.497960393137312884e+00  1.152498724517661266e+01  3.889777744897217815e+01
4 49 3.254141e-01 1.106931e+00  3.006442553492890468e+00  3.006442553492890468e+00  1.114073347025513705e+01  3.483786217165211951e+01
5 61 3.190741e-01 1.135041e+00  2.460397507888319790e+00  2.460397507888319790e+00  1.092606926234859799e+01  3.053578556135228794e+01
6 73 3.073340e-01 1.153496e+00  2.460397507888319790e+00  3.877906017194592714e+00  1.173173219269765255e+01  2.552895324345257677e+01
7 85 2.953808e-01 1.166661e+00  2.273078468213238335e+00  2.273078468213238335e+00  8.907081404733197871e+00  3.070280888546632525e+01
8 97 2.910296e-01 1.195555e+00  2.273078468213238335e+00  3.140230376131630585e+00  9.456110061312759996e+00  2.432796396121563021e+01
9 109 2.900880e-01 1.222154e+00  2.273078468213238335e+00  4.396963188685465873e+00  1.100967226605742688e+01  1.621353024497106432e+01
10 121 2.952281e-01 1.262968e+00  2.273078468213238335e+00  4.154730916435881660e+00  9.018612808150107796e+00  3.704621151152744574e+01
11 133 2.880186e-01 1.277457e+00  1.470321867845591601e+00  1.470321867845591601e+00  9.505912303471276914e+00  2.516917091663015782e+01
12 145 2.747364e-01 1.288118e+00  1.470321867845591601e+00  4.459890022694556144e+00  6.719848491545826974e+00  1.770516722098359352e+01
13 157 2.658049e-01 1.299107e+00  1.470321867845591601e+00  1.921128320314234861e+00  7.696879138630677630e+00  1.503097496231955077e+01
14 169 2.664885e-01 1.310351e+00  1.470321867845591601e+00  3.937152633747352581e+00  9.346294104312409701e+00  1.949572304815188062e+01
15 181 2.566910e-01 1.321711e+00  1.470321867845591601e+00  4.025716823658004095e+00  1.719583717486967345e+01  2.387571851532867484e+01
16 193 2.526152e-01 1.321258e+00  1.470321867845591601e+00  2.470575756727692696e+00  1.011508510697932550e+01  2.893631899636420712e+01
17 205 2.378596e-01 1.326313e+00  1.470321867845591601e+00  3.012658405674905282e+00  8.014236842115575854e+00  1.623830120648932507e+01
18 217 2.292428e-01 1.325696e+00  1.470321867845591601e+00  3.484772969408759913e+00  7.651240758231363515e+00  2.068711772163116080e+01
19 229 2.191541e-01 1.331310e+00  1.470321867845591601e+00  2.936056823313262676e+00  4.332528277160891506e+00  8.015105419075901239e+00
20 241 2.127213e-01 1.341432e+00  1.470321867845591601e+00  1.906947744692720770e+00  3.301806025903977648e+00  9.651520205708456146e+00
21 253 2.034502e-01 1.345433e+00  1.016751521134696246e+00  1.016751521134696246e+00  4.086592720215487695e+00  9.981595415760914136e+00
22 265 1.982811e-01 1.348233e+00  1.016751521134696246e+00  1.941707279508399608e+00  6.023741823014054475e+00  1.275863523305394942e+01
23 277 1.931671e-01 1.366126e+00  1.016751521134696246e+00  1.240969513952987047e+00  3.226884620124319092e+00  1.034079327478147015e+01
24 289 1.897162e-01 1.380156e+00  9.903769970149920443e-01  9.903769970149920443e-01  3.965071025635332980e+00  5.383971064247051075e+00
25 301 1.912596e-01 1.397106e+00  9.903769970149920443e-01  1.416557044678239397e+00  3.620448636593116998e+00  1.589573363951298290e+01
26 313 1.889627e-01 1.412304e+00  9.903769970149920443e-01  1.370340672115803793e+00  2.865801347735256854e+00  1.158432930266408256e+01
27 325 1.862555e-01 1.418519e+00  9.903769970149920443e-01  1.893343104091628648e+00  5.235291911189585257e+00  1.960882345575549834e+01
28 337 1.817904e-01 1.421234e+00  9.903769970149920443e-01  1.664026442365646119e+00  3.475181022198576386e+00  9.374533529452511615e+00
29 349 1.756754e-01 1.423984e+00  9.903769970149920443e-01  1.910664668722995341e+00  4.958698626433507783e+00  1.457544464452436017e+01
30 361 1.690671e-01 1.435336e+00  9.903769970149920443e-01  2.092559555215999012e+00  3.827964694039335036e+00  7.589173616012707235e+00
31 373 1.642500e-01 1.438097e+00  9.903769970149920443e-01  2.890983816212860713e+00  6.612238632030073227e+00  1.264980766080094554e+01
32 385 1.572393e-01 1.448249e+00  9.903769970149920443e-01  1.610012856034911399e+00  4.018397607639045077e+00  1.166572264295566619e+01
33 397 1.568018e-01 1.458205e+00  9.903769970149920443e-01  1.453497311338160403e+00  3.790934720451954565e+00  1.384370786774719519e+01
34 409 1.586591e-01 1.462716e+00  7.467947486084266506e-01  7.467947486084266506e-01  3.047122162362703612e+00  8.273812975548340276e+00
35 421 1.596971e-01 1.468096e+00  7.467947486084266506e-01  9.416971146269143000e-01  1.857601010132942321e+00  5.417884319677038540e+00
36 433 1.610267e-01 1.484608e+00  6.992781992626240228e-01  6.992781992626240228e-01  2.543565583395262841e+00  6.672217311235399073e+00
37 445 1.515481e-01 1.502613e+00  6.992781992626240228e-01  9.142515856440190936e-01  1.761232598918751169e+00  4.098897656578825988e+00
38 457 1.461037e-01 1.502422e+00  6.502530716059650162e-01  6.502530716059650162e-01  1.797191088085139832e+00  1.836232608635721419e+01
39 469 1.428351e-01 1.504353e+00  6.502530716059650162e-01  8.084254148773429849e-01  1.923174158835986525e+00  4.323964698812472029e+00
